
2024/07/16 (18:35:28) | ===> btop++ v.1.3.2
2024/07/16 (18:35:28) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:35:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:35:28) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:35:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:35:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:35:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:35:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:37:26) | ===> btop++ v.1.3.2
2024/07/16 (18:37:26) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:37:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:37:26) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:37:26) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:37:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:37:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:37:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:38:28) | ===> btop++ v.1.3.2
2024/07/16 (18:38:28) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:38:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:38:28) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:38:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:38:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:38:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/16 (18:38:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/07/16 (18:38:57) | ===> btop++ v.1.3.2
2024/07/16 (18:38:57) | WARNING: ROCm SMI: Failed to get device name
2024/07/16 (18:38:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/16 (18:38:57) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/16 (18:38:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/16 (18:38:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
